ID|Genre|Kategorie|Autor|Titel|Type_token_ratio|Dispersion|Disparity|Evenness|Density|Rarity|Average_token_length_syllables|MTLD|Honore_H
k00300000735|Horror|Schemaliteratur|Rellergerd, Helmut|Lebendig begraben|0.3004444444444445|0.8087417279930358|0.6351465582847595|0.9315218580581109|0.4344242082643464|0.342759286906121|1.6402930919082679|203.88312679781734|2508.335867643056
k00300000736|Horror|Schemaliteratur|Rellergerd, Helmut|Geister-Roulett|0.30955555555555553|0.8151726213633438|0.6145392656326294|0.9317310080015698|0.43286877828054293|0.3667432246210381|1.6457194570135747|214.30663079864337|2588.396420546941
k00300000737|Horror|Schemaliteratur|Rellergerd, Helmut|Der schwarze Henker|0.3062666666666667|0.8141171251707165|0.6678854823112488|0.9307376037212095|0.4321127961075399|0.3626933738710543|1.6291153176829918|211.8529945428365|2596.434531718158
k00300000738|Horror|Schemaliteratur|Rellergerd, Helmut|Grauen in vier Wänden|0.2724|0.8048642630850762|0.6111178994178772|0.9307045377660773|0.3835543199315654|0.4111822364472895|1.5944183062446535|184.68354671061084|2427.8649838569145
k00300000739|Horror|Schemaliteratur|Rellergerd, Helmut|Das Mädchen von Atlantis|0.3072888888888889|0.8114870284184713|0.6031568646430969|0.9335139807102344|0.4400877729414727|0.3777879341864717|1.6368934134321378|220.49846975284814|2627.1566603089695
k00300000740|Horror|Schemaliteratur|Rellergerd, Helmut|Das Dämonenauge|0.3000888888888889|0.8114574631245689|0.5880711078643799|0.934207170092555|0.4322388059701493|0.3659566819448189|1.6455487269534679|208.42362434440184|2600.1584190530643
k00300000741|Horror|Schemaliteratur|Rellergerd, Helmut|Voodoo-Liebe|0.27546666666666664|0.8047451631750991|0.5797570943832397|0.924974003614638|0.3711494580718768|0.4030209062718816|1.576689960068454|179.39117351054196|2475.150919467054
k00300000742|Horror|Schemaliteratur|Rellergerd, Helmut|Anruf aus dem Jenseits|0.3029777777777778|0.8082920776838649|0.6082149147987366|0.9349962850093555|0.42590396020661947|0.3815224982540157|1.6208149990434284|219.44796299269524|2561.4097322071875
k00300000743|Horror|Schemaliteratur|Rellergerd, Helmut|Die Geistervögel|0.3014222222222222|0.8087782095704361|0.5966333150863647|0.9325249538504524|0.4325608342989571|0.3702187156696295|1.622209347238316|221.8615298553212|2572.3412119261047
k00300000744|Horror|Schemaliteratur|Rellergerd, Helmut|Der unheimliche Mönch|0.3015555555555555|0.8106533061946429|0.6062180995941162|0.932601917931455|0.4345681759187155|0.3557938692227389|1.6153817628953906|223.33867699382301|2595.5964790991443
